               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.028152,           0.0058278,           0.0017376,             0.73606,             0.58332,             0.62458,             0.32167,            0.030211,           0.0051155,           0.0067819,            0.002179,            0.002179,            0.002179
                  81,             0.02837,            0.005861,           0.0016488,             0.73581,             0.58221,             0.62295,             0.32437,            0.030234,           0.0051183,           0.0067852,             0.00208,             0.00208,             0.00208
                  82,            0.027986,           0.0058202,           0.0015642,             0.73765,             0.57992,             0.62291,             0.32408,            0.030279,           0.0051209,            0.006793,            0.001981,            0.001981,            0.001981
                  83,            0.028281,           0.0058117,           0.0015356,             0.87059,             0.56087,             0.62482,             0.32416,            0.030309,           0.0051224,           0.0067901,            0.001882,            0.001882,            0.001882
                  84,            0.027427,           0.0057825,           0.0015713,             0.87353,             0.56054,             0.62472,              0.3232,            0.030332,           0.0051236,           0.0067977,            0.001783,            0.001783,            0.001783
                  85,            0.027414,           0.0057372,           0.0014726,              0.8739,             0.56039,             0.62237,              0.3224,            0.030363,           0.0051266,           0.0068037,            0.001684,            0.001684,            0.001684
                  86,            0.027425,           0.0056874,            0.001615,             0.87351,             0.56027,             0.62279,             0.32267,             0.03038,           0.0051296,           0.0068084,            0.001585,            0.001585,            0.001585
                  87,            0.026997,            0.005648,           0.0014352,             0.76294,             0.55955,             0.62282,             0.32269,            0.030383,            0.005133,            0.006802,            0.001486,            0.001486,            0.001486
                  88,            0.026704,           0.0056464,           0.0014639,             0.76008,             0.56161,               0.623,             0.32311,            0.030392,           0.0051363,           0.0067916,            0.001387,            0.001387,            0.001387
                  89,            0.026379,           0.0055337,           0.0012708,             0.75786,             0.56303,             0.62474,              0.3227,            0.030408,           0.0051396,           0.0067867,            0.001288,            0.001288,            0.001288
                  90,            0.026661,           0.0055542,           0.0013578,             0.75759,             0.56323,             0.62521,             0.32256,            0.030408,           0.0051425,           0.0067836,            0.001189,            0.001189,            0.001189
                  91,            0.026044,           0.0056378,           0.0013928,              0.7574,              0.5633,             0.62513,             0.32411,            0.030421,            0.005145,           0.0067853,             0.00109,             0.00109,             0.00109
                  92,            0.025855,            0.005514,           0.0012599,             0.75246,             0.56482,             0.62542,              0.3228,            0.030423,           0.0051482,           0.0067864,            0.000991,            0.000991,            0.000991
                  93,            0.025788,            0.005496,           0.0015519,             0.75167,             0.56494,             0.62554,             0.32253,             0.03044,           0.0051517,           0.0067881,            0.000892,            0.000892,            0.000892
                  94,             0.02505,           0.0054668,           0.0013388,             0.75082,             0.56527,             0.62547,             0.32164,            0.030453,           0.0051554,           0.0067931,            0.000793,            0.000793,            0.000793
